gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,128,5120,6144,ck,17,0,21.0171,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,383.17,1596.53,0.0
gfx950,256,128,5120,17408,ck,17,0,50.1981,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,454.54,1846.04,0.0
gfx950,256,128,14336,5120,asm,2,1,27.2847,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,688.68,2848.69,0.0
gfx950,256,128,16384,5120,asm,2,1,29.7676,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,721.42,2980.95,0.0
gfx950,256,128,34816,5120,ck,14,0,68.641,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,664.82,2736.36,0.0001
gfx950,256,192,5120,6144,ck,17,0,20.8473,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,579.43,1659.83,0.0
gfx950,256,192,5120,17408,ck,17,0,53.9763,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,634.08,1749.61,0.0
gfx950,256,192,14336,5120,asm,4,1,33.5549,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,839.99,2380.83,0.0
gfx950,256,192,16384,5120,asm,4,1,36.4453,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,883.85,2501.3,0.0
gfx950,256,192,34816,5120,ck,13,0,68.6922,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,996.49,2803.96,0.0
gfx950,256,256,5120,6144,asm,1,1,25.797,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,624.34,1382.01,0.0
gfx950,256,256,5120,17408,asm,1,1,67.068,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,680.41,1434.47,0.0
gfx950,256,256,14336,5120,asm,5,1,42.0225,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,894.31,1952.55,0.0
gfx950,256,256,16384,5120,asm,5,1,43.2345,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,993.41,2164.6,0.0
gfx950,256,256,34816,5120,ck,14,0,94.3926,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,966.9,2091.21,0.0002
gfx950,256,384,5120,6144,asm,2,1,28.5922,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,844.96,1320.25,0.0
gfx950,256,384,5120,17408,asm,2,1,76.7365,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,892.03,1299.85,0.0
gfx950,256,384,14336,5120,ck,14,0,59.5575,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,946.5,1450.3,0.0002
gfx950,256,384,16384,5120,ck,13,0,66.4818,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,969.05,1480.63,0.0
gfx950,256,384,34816,5120,ck,13,0,123.5951,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1107.67,1674.52,0.0
gfx950,256,512,5120,6144,asm,4,1,35.0338,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,919.46,1137.36,0.0
gfx950,256,512,5120,17408,asm,4,1,98.902,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,922.81,1044.31,0.0
gfx950,256,512,14336,5120,ck,13,0,64.55,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1164.4,1405.14,0.0
gfx950,256,512,16384,5120,ck,13,0,67.5086,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1272.42,1529.95,0.0
gfx950,256,512,34816,5120,cktile,28,0,150.8722,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,1209.87,1435.19,0.0
gfx950,256,768,5120,6144,asm,5,1,47.7386,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,1012.14,922.53,0.0
gfx950,256,768,5120,17408,ck,13,0,119.9721,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1141.12,919.9,0.0
gfx950,256,768,14336,5120,cktile,28,0,77.5102,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,1454.56,1281.8,0.0
