"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipMemcpyWithStream",11974,29887011791,2495992.299232,92.21,9438,8541975619,21841293.936591
"hipLaunchKernel",16005,1589157208,99291.296970,4.90,1803,454479233,4467077.804979
"hipFree",138,630770703,4570802.195652,1.95,1233,17771334,7345268.204376
"hipModuleLaunchKernel",4921,61666292,12531.252185,0.1903,1823,3090448,44619.602150
"hipGetDeviceCount",5,55611529,11122305.800000,0.1716,30,55609835,24869284.864124
"hipModuleLoadData",3,41462321,13820773.666667,0.1279,3467688,29035889,13459670.313710
"hipEventSynchronize",7,38748221,5535460.142857,0.1195,4799,25014097,9989932.114191
"hipMalloc",577,22612746,39190.201040,0.0698,8215,1671126,93351.161084
"hipModuleLoadDataEx",33,17370978,526393.272727,0.0536,352173,2110273,313268.195977
"hipModuleLoad",12,15627858,1302321.500000,0.0482,249520,11863432,3329461.966257
"hipExtModuleLaunchKernel",988,10596006,10724.702429,0.0327,2043,55845,8212.600796
"hipMemcpyAsync",876,7900071,9018.345890,0.0244,1483,76043,8340.542286
"hipStreamCreateWithPriority",2,6755376,3377688.000000,0.0208,2446786,4308590,1316494.233640
"hipModuleUnload",3,6736297,2245432.333333,0.0208,1180021,4043199,1565792.232583
"hipGetDevice",159412,6178005,38.754956,0.0191,30,24526,112.292536
"hipSetDevice",83427,3616863,43.353627,0.0112,30,5279,67.557660
"hipPointerGetAttribute",13652,2799499,205.061456,8.637e-03,70,37601,463.448243
"hipMemsetAsync",255,2689260,10546.117647,8.297e-03,2274,49373,8508.423307
"hipStreamGetCaptureInfo",11974,1119181,93.467596,3.453e-03,40,9438,305.623457
"hipHostMalloc",13,1114015,85693.461538,3.437e-03,23173,289394,75519.913092
"hipGetLastError",21726,948427,43.654009,2.926e-03,20,16090,151.246585
"hipGetDevicePropertiesR0600",2484,895546,360.525765,2.763e-03,100,8607,545.523952
"hipEventRecord",65,563127,8663.492308,1.737e-03,722,29726,9002.937623
"hipDeviceGetAttribute",1424,306497,215.236657,9.456e-04,110,3706,275.987207
"hipGetStreamDeviceId",4272,191327,44.786283,5.903e-04,30,2004,59.559575
"hipGetProcAddress",140,116177,829.835714,3.584e-04,160,10479,1207.837372
"hipModuleGetFunction",68,115671,1701.044118,3.569e-04,271,5009,1188.321260
"hipStreamIsCapturing",664,92183,138.829819,2.844e-04,40,3477,354.597220
"hipEventQuery",84,76520,910.952381,2.361e-04,70,7765,1326.852112
"hipPointerGetAttributes",7,67578,9654.000000,2.085e-04,6673,12293,2691.830790
"hipStreamWaitEvent",7,64884,9269.142857,2.002e-04,2816,16581,4309.809796
"hipDevicePrimaryCtxGetState",111,50331,453.432432,1.553e-04,30,5901,985.779771
"hipEventCreateWithFlags",23,48300,2100.000000,1.490e-04,70,6953,2309.541867
"hipEventDestroy",14,36688,2620.571429,1.132e-04,260,7174,2095.161191
"hipMemset",1,33132,33132.000000,1.022e-04,33132,33132,0.00000000e+00
"hipFuncGetAttribute",99,30504,308.121212,9.411e-05,40,2204,558.185842
"hipStreamQuery",1,20047,20047.000000,6.185e-05,20047,20047,0.00000000e+00
"hipDriverGetVersion",1,2916,2916.000000,8.996e-06,2916,2916,0.00000000e+00
"hipDeviceGetStreamPriorityRange",1,2205,2205.000000,6.803e-06,2205,2205,0.00000000e+00
