"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"extend_attention_wmma_n64_gfx1151",40,7161989820,179049745.500000,23.65,44704315,319217558,184862416.627955
"mxfp4_prefill_gate_wmma_gfx1151",320,3456035944,10800112.325000,11.41,10001228,12043832,391641.344061
"mxfp4_sgl_linear_prefill_wmma_gfx1151",360,2937155145,8158764.291667,9.70,1128965,16729895,6246838.869164
"recompute_w_u_fwd_kernel",150,2302986313,15353242.086667,7.60,35266,21649354,7770350.592108
"gdn_chunk_o_bv32_gfx1151",120,1335382371,11128186.425000,4.41,10976422,12179849,167656.393666
"_causal_conv1d_fwd_kernel",150,1304026097,8693507.313333,4.31,2685,11059179,4359822.093700
"mxfp4_prefill_down_wmma_gfx1151",160,1212906436,7580665.225000,4.00,7446978,7672522,36954.043455
"void at::native::indexFuncLargeIndex<float, long, unsigned int, 2, 2, -2, true, at::native::(anonymous namespace)::ReduceAdd>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, unsigned int, long, long, at::native::(anonymous namespace)::ReduceAdd const&, float)",160,1130556634,7065978.962500,3.73,6860835,7368430,111617.501525
"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int, bool)#1})",1054,1096747350,1040557.258065,3.62,1563,4631118,1526423.690308
"chunk_gated_delta_rule_fwd_kernel_h_blockdim64",150,1058609199,7057394.660000,3.50,56386,9099448,3510218.133052
"chunk_gated_delta_rule_fwd_kkt_solve_kernel",150,974595249,6497301.660000,3.22,15108,8277101,3247859.335426
"void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#1}::operator()() const::{lambda(unsigned char)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#1}::operator()() const::{lambda(unsigned char)#1} const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#1}::operator()() const::{lambda(unsigned char)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#1}::operator()() const::{lambda(unsigned char)#1} const&)::{lambda(int, bool)#1})",640,781547317,1221167.682813,2.58,1963,7434727,1712769.369650
"void at::native::vectorized_gather_kernel<16, long>(char*, char*, long*, int, long, long, long, long, bool)",164,771079401,4701703.664634,2.55,236405,4860069,703082.716626
"void at::native::vectorized_elementwise_kernel<4, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)",1090,598652283,549222.277982,1.98,881,2669665,763985.434502
"Cijk_Alik_Bljk_BBS_BH_MT128x128x32_MI16x16x16x1_SN_1LDSB0_AMAS3_BL1_BS1_EPS1_GLVWA8_GLVWB8_GRVW8_GSU1_GSUASB_ISA1151_IU1_K1_KLA_LBSPPA128_LBSPPB128_LPA8_LPB8_LRVW16_MIAV1_MMFGLC_NLCA1_NLCB1_PGR1_PLR0_SIA1_SS1_SU0_SUS0_SVW2_TT4_64_TLDS1_UMLDSA1_UMLDSB1_USFGROn1_VAW1_VSn1_VW2_VWB2_WSGRA1_WSGRB1_WS32_WG32_4_1_WGM4",40,566419845,14160496.125000,1.87,13705440,14625612,206877.472031
"expert_activation_pack_gfx1151",160,404818448,2530115.300000,1.34,2469649,2616205,29537.109243
